Year,Company,Total
2009,Rocklyn Trolley Services Ltd,1
2009,Asma Akbar t/a The Pearl Restaurant,2
2009,Autolaunch Limited,2
2009,Borris Lodge Nursing Home,1
2009,Borris Lodge Nursing Home ,1
2009,Clonmore Quality Foods Ltd,1
2009,CSJ Dominos (Carlow) Ltd T/A Dominos Pizza,1
2009,Dr F Ni Ghrainne & Dr C Mc Inerney,1
2009,Dr. John Murray,1
2009,Eurowaste Recycling Ltd,1
2009,Gerolas Ltd t/a Lemongrass Carlow,4
2009,Glendale Care Ltd t/a Glendale Nursing Home,1
2009,Hillview Convalescence and Nursing Home Ltd,1
2009,Integrated Communications Limited,2
2009,James S Bolger,2
2009,Jasmine Chinese Restaruant ltd(Carlow),2
2009,Living Quarters Limited,1
2009,Manning Ireland Ltd,1
2009,Merck Sharp & Dohme Biologics (Ireland) Limited,3
2009,"Michael Connolly & Sons Ltd., (Supervalu)",2
2009,Milltown Engineering Ltd,1
2009,Mount Wolseley Hotel Golf and Country Club,1
2009,Mount Wolseley Ltd,2
2009,Navdeep Singh t/a Punjabi King,6
2009,Omnipro strategic solutions limited,1
2009,Patrick Hughes,1
2009,Philip Anthony Ivanoff Jnr T/A Creativa,1
2009,Rath's Londis,1
2009,River Palace Ltd,1
2009,Rocca's Take Away,1
2009,Seven Oaks Hotel,1
2009,Sunshine Juice,1
2009,Teach Dolmain,1
2009,Teagasc (Agriculture & Food Development Authority),2
2009,The Tai Company Ltd,1
2009,Tiglin Garden Products Ltds ( Mooney Coal),1
2009,Tullow Mushroom Growers Ltd,4
2009,T.E. Laboratories Ltd,2
2009,Weeping Thaiger Restaurants Ltd.,4
2009,William P. Mullins (Horse Trainer),1
2009,William & Brigid Rath t/a Rath's Londis,2
2009,Abbott Ireland,1
2009,Agrigear Ltd.,1
2009,Aidan Elliott Construction Ltd,1
2009,Brandon Taverns Limited,1
2009,Cappagh Mushrooms Ltd.,1
2009,Carton Bros Ltd,5
2009,Cavan Chamber of Commerce,1
2009,Cavan Hotel & Leisure Co Ltd,1
2009,C. Flynn Engineering Ltd,1
2009,Esker Lodge Limited T/A Esker Lodge Nursing Home,2
2009,Fairlawns Private Nursing Home,1
2009,Fergus Farrell t/a Farrell Travel,1
2009,Foamalite Ltd,1
2009,High Voltage Construction Ltd,11
2009,Kingscourt Castle Ltd. (Cabra Castle),2
2009,Lakeside Mushrooms Ltd,1
2009,Lavey Service Station,1
2009,Liffey Meats (Cavan) Ltd,20
2009,Multi-Tech Design Ltd.,2
2009,Nu-Con Ltd,1
2009,Omega Nursing Home,2
2009,Paul Fay,1
2009,Pauwels Trafo Ireland Limited,1
2009,Ping Chinese Takeaway Limited,1
2009,Quinn Packaging,2
2009,Royal School Cavan,1
2009,Sheelin Nursing Home Ltd,1
2009,Slieve Russell Hotel,1
2009,Svetlana Bylina & Arnes Rusins t/a AV Autostyle,1
2009,Air Atlanta Aero Engineering Ltd,11
2009,Beckman Coulter Biomedical Limited,1
2009,Beckvalley Ltd T/A Queallys Supervalu,1
2009,Boart Longyear,1
2009,Bolger Engineering Ltd,1
2009,Brothers Of Charity Services Clare t/a Clare Supported Employment,1
2009,Bunratty Castle Hotel,1
2009,Bunratty Manor Hotel,1
2009,Camison Ltd T/A Auburn Lodge Hotel,2
2009,Carmel Connaire,1
2009,Carrigoran House (Nursing Home),3
2009,Cheng X Lin & Yuet H Cheung T/A Pearl Garden,1
2009,Clarebrook Properties T/A The Oakwood Arms Hotel,1
2009,Convent of Mercy,1
2009,"Data Display Co. Ltd.,",1
2009,Digital River Ireland Ltd,2
2009,Dromoland Castle   ,3
2009,Eamon Garrahy & Vincent McMahon t/a Garrihy Seafoods,1
2009,Elder Nursing Homes Ltd t/a Lakes Nursing Home,2
2009,Ennis Lifts Ltd.,3
2009,Ever Spice Restaurant,1
2009,Fabricated Products (Shannon) Ltd.,3
2009,Falls Hotel,9
2009,Financial Insurance Group Services Limited,1
2009,Fitzpatricks Supervalu Limited,2
2009,GE Capital Aviation Services Ltd. ,2
2009,GE Commercial Aviation Services Ltd.,4
2009,General Electric International Inc.,8
2009,Golden Phoenix,1
2009,Ihia & Kebayli Ltd. t/a Sicilian Restaurant,1
2009,Iman Casing & Foods Ireland (1992) Ltd.,1
2009,Infosys Technologies Limited,1
2009,Intel Shannon Limited,2
2009,Interpalace Investments Ltd,1
2009,Jakkarin & Laddawan Jitphulphlon t/a Royal Orchid,1
2009,James White & Co Ltd t/a King Thomond Hotel,1
2009,JBA Consulting Engineers & Scientists t/a JBA Consulting,1
2009,John Quirke T/A Nosh & Coffee Shannon,1
2009,Kilrush District Hospital Ltd.t/a Kilrush Community Hospital,1
2009,Kiltier Plus Ltd t/a McDonalds (Shannon),1
2009,Loyaltybuild Ltd,1
2009,Mentor Graphics ( Ireland ) Ltd.,1
2009,Mescall Bros Ltd,1
2009,Mid-America Overseas (Ireland) Ltd,1
2009,Mogul Emperor,1
2009,Mogul Emperor Ltd t/a Bombay Palace,1
2009,MPS Global Limited,1
2009,Muhammad Zahid t/a Taste of Punjab,1
2009,New Pearl,4
2009,O'Connors Confectionary Ennis Ltd(O'Connors Bakery),5
2009,Olivia and Mary English t/a Sancta Maria,2
2009,Olympus Life and Material Science Europa GMBH (Irish Branch),1
2009,Pacnet Services (Europe) Ltd ,1
2009,Pat Keogh & P K Yeung t/a Jade Cottage Chinese Restaurant,2
2009,Queens Hotel,1
2009,Restaurant M,2
2009,Ron & Wasinee Beech Partnership Thai Palace,3
2009,Rory Lynch Transport Ltd,2
2009,RSA Security Ireland Ltd,1
2009,Sancta Maria Nursing Home,1
2009,Silver House Chinese Restaurant Limited,1
2009,Sundyp Ltd T/A St. Theresa's Nursing Home,2
2009,Temple Gate Hotel,1
2009,Teresa Crawford,1
2009,Tom Staed,1
2009,Unisave Pharmacy Ltd T/A Rochfords Pharmacy,1
2009,Valerie Hillery,1
2009,Vittorina Sampaolo T/A Numero Uno Pizzeria,1
2009,Younus Ali T/A Dhaka Restaurant Indian Tandoori,1
2009,Abbey Lands Nursing Home and Alzheimers Unit Limited,3
2009,Abrakebabra Ltd (Kebab Fast Food Ltd),1
2009,Abtran eCare and Fulfillment,1
2009,Accenture,9
2009,Actons Hotel,1
2009,Aereco Ltd,1
2009,Aghada Boatyard Ltd,1
2009,AIBP Bandon,2
2009,Alcatel-Lucent Ireland Ltd,2
2009,Alcon Laboratories Ireland Limited,1
2009,Allston Taverns Ltd T/A The Muskerry Arms,2
2009,ALPS Electric (Ireland) Limited,2
2009,Ameer Palace,2
2009,Apple Computer Ltd,1
2009,Ardcullen Ltd T/A Donatellos,1
2009,Arunee Sae Tung t/a Royal Orchid,1
2009,Ashgrove Plant Ltd,1
2009,Asian Cuisine Cork t/a Lemongrass Cork,2
