Year,Month,Sector,Issued,Refused,Withdrawn
2011,Jan,Agriculture & Fisheries,6,4,0
2011,Jan,Catering,47,6,2
2011,Jan,Domestic,7,0,0
2011,Jan,Education,6,0,0
2011,Jan,Entertainment,3,2,0
2011,Jan,Industry,43,4,0
2011,Jan,Medical & Nursing,78,2,2
2011,Jan,Service Industry,138,17,4
2011,Jan,Sport,4,1,0
2011,Feb,Agriculture & Fisheries,9,3,0
2011,Feb,Catering,36,4,2
2011,Feb,Domestic,4,1,0
2011,Feb,Education,4,1,0
2011,Feb,Exchange Agreements,1,0,0
2011,Feb,Industry,29,5,0
2011,Feb,Medical & Nursing,101,4,1
2011,Feb,Service Industry,153,17,4
2011,Feb,Sport,1,0,0
2011,Mar,Agriculture & Fisheries,40,9,0
2011,Mar,Catering,58,12,2
2011,Mar,Domestic,6,1,0
2011,Mar,Education,8,3,0
2011,Mar,Entertainment,1,0,0
2011,Mar,Industry,48,13,3
2011,Mar,Medical & Nursing,130,10,6
2011,Mar,Service Industry,203,31,7
2011,Mar,Sport,4,0,0
2011,Apr,Agriculture & Fisheries,13,6,0
2011,Apr,Catering,55,14,2
2011,Apr,Domestic,3,1,0
2011,Apr,Education,6,0,0
2011,Apr,Entertainment,3,2,0
2011,Apr,Exchange Agreements,1,0,0
2011,Apr,Industry,49,3,2
2011,Apr,Medical & Nursing,95,7,1
2011,Apr,Service Industry,193,34,8
2011,Apr,Sport,6,1,1
2011,May,Agriculture & Fisheries,33,6,2
2011,May,Catering,85,39,6
2011,May,Domestic,13,2,0
2011,May,Education,16,2,0
2011,May,Entertainment,2,1,0
2011,May,Exchange Agreements,9,0,0
2011,May,Industry,61,6,1
2011,May,Medical & Nursing,209,24,13
2011,May,Service Industry,315,44,5
2011,May,Sport,7,2,0
2011,Jun,Agriculture & Fisheries,26,13,0
2011,Jun,Catering,65,33,4
2011,Jun,Domestic,6,3,0
2011,Jun,Education,6,1,0
2011,Jun,Industry,91,12,2
2011,Jun,Medical & Nursing,156,22,19
2011,Jun,Service Industry,279,45,13
2011,Jun,Sport,10,0,0
2011,Jul,Agriculture & Fisheries,19,6,1
2011,Jul,Catering,49,15,2
2011,Jul,Domestic,7,0,0
2011,Jul,Education,10,3,0
2011,Jul,Entertainment,2,2,0
2011,Jul,Industry,43,3,0
2011,Jul,Medical & Nursing,64,15,7
2011,Jul,Service Industry,154,48,7
2011,Jul,Sport,5,0,1
2011,Aug,Agriculture & Fisheries,20,4,1
2011,Aug,Catering,32,22,1
2011,Aug,Domestic,2,3,1
2011,Aug,Education,15,0,0
2011,Aug,Entertainment,2,1,0
2011,Aug,Exchange Agreements,2,0,0
2011,Aug,Industry,64,9,4
2011,Aug,Medical & Nursing,145,5,4
2011,Aug,Service Industry,197,33,2
2011,Aug,Sport,5,2,0
2011,Sep,Agriculture & Fisheries,11,5,0
2011,Sep,Catering,37,18,0
2011,Sep,Domestic,1,2,0
2011,Sep,Education,11,0,0
2011,Sep,Entertainment,4,1,0
2011,Sep,Industry,46,12,2
2011,Sep,Medical & Nursing,126,9,2
2011,Sep,Service Industry,193,44,4
2011,Sep,Sport,5,1,0
2011,Oct,Agriculture & Fisheries,12,3,0
2011,Oct,Catering,29,25,1
2011,Oct,Domestic,2,1,0
2011,Oct,Education,10,2,0
2011,Oct,Entertainment,6,2,0
2011,Oct,Exchange Agreements,1,0,0
2011,Oct,Industry,39,9,1
2011,Oct,Medical & Nursing,85,14,1
2011,Oct,Service Industry,158,22,18
2011,Oct,Sport,3,0,2
2011,Nov,Agriculture & Fisheries,17,5,1
2011,Nov,Catering,30,30,3
2011,Nov,Domestic,4,2,0
2011,Nov,Education,0,2,0
2011,Nov,Entertainment,0,1,0
2011,Nov,Exchange Agreements,7,0,0
2011,Nov,Industry,42,12,3
2011,Nov,Medical & Nursing,71,16,5
2011,Nov,Service Industry,138,47,6
2011,Nov,Sport,5,0,0
2011,Dec,Agriculture & Fisheries,10,4,1
2011,Dec,Catering,30,17,0
2011,Dec,Domestic,2,0,0
2011,Dec,Education,12,0,0
2011,Dec,Industry,50,11,0
2011,Dec,Medical & Nursing,42,7,2
2011,Dec,Service Industry,142,39,6
2011,Dec,Sport,1,0,0
