id_sector,Year,Month,Sector,Issued,Refused,Withdrawn
2013JanAgriculture_&_Fisheries,2013,Jan,Agriculture & Fisheries,7,5,0
2013JanCatering,2013,Jan,Catering,20,10,1
2013JanDomestic,2013,Jan,Domestic,1,2,0
2013JanEducation,2013,Jan,Education,10,2,1
2013JanEntertainment,2013,Jan,Entertainment,6,0,0
2013JanIndustry,2013,Jan,Industry,38,5,3
2013JanMedical_&_Nursing,2013,Jan,Medical & Nursing,59,9,0
2013JanService_Industry,2013,Jan,Service Industry,188,16,8
2013JanSport,2013,Jan,Sport,1,1,0
2013FebAgriculture_&_Fisheries,2013,Feb,Agriculture & Fisheries,5,1,0
2013FebCatering,2013,Feb,Catering,23,10,0
2013FebDomestic,2013,Feb,Domestic,4,0,0
2013FebEducation,2013,Feb,Education,5,1,1
2013FebEntertainment,2013,Feb,Entertainment,2,0,0
2013FebIndustry,2013,Feb,Industry,63,3,2
2013FebMedical_&_Nursing,2013,Feb,Medical & Nursing,56,7,0
2013FebService_Industry,2013,Feb,Service Industry,154,24,8
2013FebSport,2013,Feb,Sport,1,0,0
2013MarAgriculture_&_Fisheries,2013,Mar,Agriculture & Fisheries,7,4,0
2013MarCatering,2013,Mar,Catering,12,6,1
2013MarDomestic,2013,Mar,Domestic,4,1,0
2013MarEducation,2013,Mar,Education,2,2,0
2013MarIndustry,2013,Mar,Industry,69,6,4
2013MarMedical_&_Nursing,2013,Mar,Medical & Nursing,32,5,1
2013MarService_Industry,2013,Mar,Service Industry,189,10,4
2013MarSport,2013,Mar,Sport,4,1,0
2013AprAgriculture_&_Fisheries,2013,Apr,Agriculture & Fisheries,3,2,0
2013AprCatering,2013,Apr,Catering,15,1,0
2013AprEducation,2013,Apr,Education,4,3,0
2013AprEntertainment,2013,Apr,Entertainment,1,0,0
2013AprIndustry,2013,Apr,Industry,43,6,1
2013AprMedical_&_Nursing,2013,Apr,Medical & Nursing,36,4,0
2013AprService_Industry,2013,Apr,Service Industry,124,2,0
2013AprSport,2013,Apr,Sport,4,0,0
2013MayAgriculture_&_Fisheries,2013,May,Agriculture & Fisheries,7,4,0
2013MayCatering,2013,May,Catering,22,9,0
2013MayDomestic,2013,May,Domestic,3,0,0
2013MayEducation,2013,May,Education,8,1,0
2013MayEntertainment,2013,May,Entertainment,2,1,0
2013MayIndustry,2013,May,Industry,87,3,3
2013MayMedical_&_Nursing,2013,May,Medical & Nursing,34,6,1
2013MayService_Industry,2013,May,Service Industry,194,16,3
2013MaySport,2013,May,Sport,2,0,0
2013JunAgriculture_&_Fisheries,2013,Jun,Agriculture & Fisheries,7,2,0
2013JunCatering,2013,Jun,Catering,13,7,1
2013JunDomestic,2013,Jun,Domestic,2,0,0
2013JunEducation,2013,Jun,Education,7,3,0
2013JunEntertainment,2013,Jun,Entertainment,1,0,0
2013JunExchange_Agreements,2013,Jun,Exchange Agreements,7,0,0
2013JunIndustry,2013,Jun,Industry,45,6,0
2013JunMedical_&_Nursing,2013,Jun,Medical & Nursing,36,8,1
2013JunService_Industry,2013,Jun,Service Industry,147,12,3
2013JunSport,2013,Jun,Sport,3,1,0
2013JulAgriculture_&_Fisheries,2013,Jul,Agriculture & Fisheries,5,2,0
2013JulCatering,2013,Jul,Catering,10,14,1
2013JulDomestic,2013,Jul,Domestic,2,0,0
2013JulEducation,2013,Jul,Education,7,1,0
2013JulExchange_Agreements,2013,Jul,Exchange Agreements,1,0,0
2013JulIndustry,2013,Jul,Industry,72,3,1
2013JulMedical_&_Nursing,2013,Jul,Medical & Nursing,70,5,3
2013JulService_Industry,2013,Jul,Service Industry,170,13,7
2013JulSport,2013,Jul,Sport,6,1,0
2013AugAgriculture_&_Fisheries,2013,Aug,Agriculture & Fisheries,3,0,1
2013AugCatering,2013,Aug,Catering,10,6,1
2013AugDomestic,2013,Aug,Domestic,0,1,0
2013AugEducation,2013,Aug,Education,9,0,2
2013AugEntertainment,2013,Aug,Entertainment,4,1,0
2013AugIndustry,2013,Aug,Industry,62,4,2
2013AugMedical_&_Nursing,2013,Aug,Medical & Nursing,50,6,4
2013AugService_Industry,2013,Aug,Service Industry,183,16,2
2013AugSport,2013,Aug,Sport,8,2,0
2013SepAgriculture_&_Fisheries,2013,Sep,Agriculture & Fisheries,5,1,0
2013SepCatering,2013,Sep,Catering,14,12,0
2013SepDomestic,2013,Sep,Domestic,2,2,0
2013SepEducation,2013,Sep,Education,9,0,0
2013SepEntertainment,2013,Sep,Entertainment,7,0,0
2013SepIndustry,2013,Sep,Industry,89,5,21
2013SepMedical_&_Nursing,2013,Sep,Medical & Nursing,35,4,2
2013SepService_Industry,2013,Sep,Service Industry,238,23,4
2013SepSport,2013,Sep,Sport,3,0,0
2013OctAgriculture_&_Fisheries,2013,Oct,Agriculture & Fisheries,3,3,0
2013OctCatering,2013,Oct,Catering,13,13,0
2013OctDomestic,2013,Oct,Domestic,3,2,1
2013OctEducation,2013,Oct,Education,5,2,0
2013OctEntertainment,2013,Oct,Entertainment,5,0,0
2013OctIndustry,2013,Oct,Industry,95,12,1
2013OctMedical_&_Nursing,2013,Oct,Medical & Nursing,29,7,0
2013OctService_Industry,2013,Oct,Service Industry,216,33,3
2013OctSport,2013,Oct,Sport,5,4,0
2013NovAgriculture_&_Fisheries,2013,Nov,Agriculture & Fisheries,7,3,0
2013NovCatering,2013,Nov,Catering,12,13,0
2013NovDomestic,2013,Nov,Domestic,0,2,0
2013NovEducation,2013,Nov,Education,2,0,0
2013NovEntertainment,2013,Nov,Entertainment,2,0,0
2013NovIndustry,2013,Nov,Industry,71,9,0
2013NovMedical_&_Nursing,2013,Nov,Medical & Nursing,17,9,1
2013NovService_Industry,2013,Nov,Service Industry,171,27,5
2013NovSport,2013,Nov,Sport,3,2,0
2013DecAgriculture_&_Fisheries,2013,Dec,Agriculture & Fisheries,6,0,0
2013DecCatering,2013,Dec,Catering,10,5,0
2013DecEducation,2013,Dec,Education,7,4,1
2013DecEntertainment,2013,Dec,Entertainment,5,2,0
2013DecIndustry,2013,Dec,Industry,102,11,2
2013DecMedical_&_Nursing,2013,Dec,Medical & Nursing,22,8,3
2013DecService_Industry,2013,Dec,Service Industry,158,19,7
2013DecSport,2013,Dec,Sport,1,1,0
