Year,Country,Issued,Refused,Withdrawn
2014,Afghanistan,1,0,0
2014,Albania,4,0,0
2014,Algeria,1,0,0
2014,Angola,1,0,0
2014,Argentina,26,3,0
2014,Armenia,4,0,1
2014,Australia,80,5,2
2014,Azerbaijan,2,0,0
2014,Bahrain,4,0,1
2014,Bangladesh,42,10,5
2014,Belarus,10,0,0
2014,Benin,1,0,0
2014,Bolivia,1,1,0
2014,Bosnia and Herzegovina,5,0,0
2014,Botswana,7,1,0
2014,Brazil,167,34,4
2014,Cameroon,2,0,0
2014,Canada,120,9,4
2014,Chile,3,0,0
2014,China,262,40,5
2014,Colombia,7,0,0
2014,Costa Rica,7,0,0
2014,Cuba,1,0,0
2014,Dominican Republic,2,0,0
2014,Egypt,76,7,1
2014,Eritrea,1,0,0
2014,Eswatini,1,0,0
2014,Ethiopia,1,0,0
2014,Georgia,2,0,0
2014,Ghana,2,0,0
2014,India,1657,65,43
2014,Indonesia,7,0,0
2014,Iran,11,3,1
2014,Iraq,23,1,1
2014,Israel,276,6,8
2014,Japan,96,6,1
2014,Jordan,15,1,0
2014,Kazakhstan,7,0,0
2014,Kenya,8,0,0
2014,Kuwait,3,0,0
2014,Kyrgyzstan,1,0,1
2014,Latvia,0,1,0
2014,Lebanon,28,1,0
2014,Liberia,0,1,0
2014,Libya,3,1,0
2014,Malaysia,177,39,9
2014,Mauritania,1,0,1
2014,Mauritius,64,23,3
2014,Mexico,27,1,1
2014,Moldova,4,1,1
2014,Monaco,1,0,0
2014,Morocco,12,1,0
2014,Myanmar,3,0,0
2014,Nepal,11,4,0
2014,New Zealand,42,6,0
2014,Nicaragua,2,0,0
2014,Niger,1,0,0
2014,Nigeria,89,6,4
2014,North Macedonia,1,0,0
2014,Oman,3,0,0
2014,Pakistan,507,41,17
2014,Paraguay,2,0,0
2014,Peru,3,0,0
2014,Philippines,122,23,2
2014,Qatar,1,0,0
2014,Romania,1,0,0
2014,Russia,111,4,2
2014,Saint Kitts & Nevis,2,1,0
2014,Saudi Arabia,4,0,0
2014,Serbia,17,3,0
2014,Seychelles,1,0,0
2014,Singapore,7,4,0
2014,Somalia,1,0,0
2014,South Africa,90,34,0
2014,South Korea,32,5,2
2014,Sri Lanka,40,8,2
2014,State of Palestine,5,0,0
2014,Sudan,125,12,1
2014,Syria,17,2,1
2014,Tanzania,3,1,0
2014,Thailand,18,8,0
2014,Trinidad and Tobago,15,1,2
2014,Tunisia,4,0,0
2014,Turkey,116,9,1
2014,Uganda,1,0,0
2014,Ukraine,91,6,2
2014,United Arab Emirates,7,0,0
2014,United Kingdom,1,0,0
2014,United States,685,54,15
2014,Uruguay,1,0,0
2014,Uzbekistan,1,0,0
2014,Venezuela,37,4,0
2014,Vietnam,5,2,0
2014,Zambia,0,2,0
2014,Zimbabwe,6,2,0
