id_county,Year,County,Issued,Refused,Withdrawn
2020Carlow,2020,Carlow,62.0,3,3.0
2020Cavan,2020,Cavan,316.0,44,10.0
2020Clare,2020,Clare,136.0,30,11.0
2020Cork,2020,Cork,1243.0,91,44.0
2020Donegal,2020,Donegal,205.0,11,10.0
2020Dublin,2020,Dublin,8520.0,461,321.0
2020Galway,2020,Galway,590.0,50,31.0
2020Kerry,2020,Kerry,235.0,15,10.0
2020Kildare,2020,Kildare,572.0,31,20.0
2020Kilkenny,2020,Kilkenny,229.0,6,9.0
2020Laois,2020,Laois,82.0,3,
2020Leitrim,2020,Leitrim,23.0,3,2.0
2020Limerick,2020,Limerick,670.0,39,38.0
2020Longford,2020,Longford,86.0,1,3.0
2020Louth,2020,Louth,418.0,12,8.0
2020Mayo,2020,Mayo,245.0,14,13.0
2020Meath,2020,Meath,321.0,15,31.0
2020Monaghan,2020,Monaghan,110.0,12,2.0
2020Offaly,2020,Offaly,299.0,7,5.0
2020Roscommon,2020,Roscommon,80.0,6,1.0
2020Sligo,2020,Sligo,147.0,9,3.0
2020Tipperary,2020,Tipperary,224.0,17,8.0
2020Waterford,2020,Waterford,725.0,17,25.0
2020Westmeath,2020,Westmeath,216.0,19,9.0
2020Wexford,2020,Wexford,410.0,10,23.0
2020Wicklow,2020,Wicklow,145.0,20,16.0
2020Others,2020,Others,110.0,10,4.0
