id_country,Year,Country,Issued,Refused,Withdrawn
2021Afghanistan,2021,Afghanistan,11.0,0.0,1.0
2021Albania,2021,Albania,22.0,1.0,0.0
2021Algeria,2021,Algeria,16.0,0.0,2.0
2021Angola,2021,Angola,1.0,0.0,0.0
2021Argentina,2021,Argentina,58.0,8.0,5.0
2021Armenia,2021,Armenia,13.0,0.0,0.0
2021Australia,2021,Australia,71.0,7.0,4.0
2021Azerbaijan,2021,Azerbaijan,8.0,0.0,1.0
2021Bahrain,2021,Bahrain,3.0,0.0,0.0
2021Bangladesh,2021,Bangladesh,53.0,10.0,1.0
2021Barbados,2021,Barbados,1.0,1.0,0.0
2021Belarus,2021,Belarus,28.0,0.0,0.0
2021Bhutan,2021,Bhutan,1.0,0.0,0.0
2021Bolivia,2021,Bolivia,6.0,1.0,2.0
2021Bosnia_and_Herzegovina,2021,Bosnia and Herzegovina,4.0,2.0,2.0
2021Botswana,2021,Botswana,6.0,2.0,0.0
2021Brazil,2021,Brazil,1098.0,178.0,73.0
2021Brunei,2021,Brunei,6.0,0.0,1.0
2021Burkina_Faso,2021,Burkina Faso,1.0,1.0,0.0
2021Burundi,2021,Burundi,2.0,0.0,0.0
2021Cambodia,2021,Cambodia,0.0,0.0,1.0
2021Cameroon,2021,Cameroon,4.0,0.0,0.0
2021Canada,2021,Canada,240.0,8.0,14.0
2021Chile,2021,Chile,25.0,1.0,0.0
2021China,2021,China,709.0,67.0,27.0
2021Colombia,2021,Colombia,28.0,2.0,1.0
2021Congo,2021,Congo,2.0,0.0,0.0
2021Costa_Rica,2021,Costa Rica,16.0,2.0,0.0
2021Cuba,2021,Cuba,2.0,0.0,0.0
2021Côte_d'Ivoire,2021,Côte d'Ivoire,2.0,1.0,0.0
2021DR_Congo,2021,DR Congo,1.0,0.0,0.0
2021Dominica,2021,Dominica,2.0,0.0,0.0
2021Dominican_Republic,2021,Dominican Republic,7.0,0.0,0.0
2021Ecuador,2021,Ecuador,4.0,0.0,0.0
2021Egypt,2021,Egypt,248.0,3.0,15.0
2021El_Salvador,2021,El Salvador,9.0,1.0,5.0
2021Equatorial_Guinea,2021,Equatorial Guinea,1.0,0.0,0.0
2021Eswatini,2021,Eswatini,4.0,0.0,0.0
2021Ethiopia,2021,Ethiopia,9.0,0.0,0.0
2021Georgia,2021,Georgia,7.0,0.0,1.0
2021Ghana,2021,Ghana,34.0,3.0,6.0
2021Guatemala,2021,Guatemala,4.0,0.0,0.0
2021Guinea,2021,Guinea,2.0,0.0,0.0
2021Honduras,2021,Honduras,4.0,0.0,0.0
2021India,2021,India,6445.0,210.0,242.0
2021Indonesia,2021,Indonesia,52.0,10.0,1.0
2021Iran,2021,Iran,45.0,3.0,2.0
2021Iraq,2021,Iraq,46.0,1.0,2.0
2021Israel,2021,Israel,71.0,0.0,7.0
2021Jamaica,2021,Jamaica,5.0,0.0,1.0
2021Japan,2021,Japan,99.0,3.0,2.0
2021Jordan,2021,Jordan,54.0,2.0,2.0
2021Kazakhstan,2021,Kazakhstan,14.0,0.0,1.0
2021Kenya,2021,Kenya,36.0,1.0,3.0
2021Kuwait,2021,Kuwait,3.0,0.0,0.0
2021Kyrgyzstan,2021,Kyrgyzstan,3.0,0.0,0.0
2021Lebanon,2021,Lebanon,63.0,2.0,3.0
2021Lesotho,2021,Lesotho,2.0,0.0,0.0
