Year,County,Issued,Refused,Withdrawn
2025,Carlow,181.0,24,0
2025,Cavan,501.0,56,0
2025,Clare,538.0,87,0
2025,Cork,2973.0,322,0
2025,Donegal,488.0,75,0
2025,Dublin,14627.0,1395,0
2025,Galway,1104.0,121,0
2025,Kerry,527.0,61,0
2025,Kildare,1194.0,202,0
2025,Kilkenny,580.0,55,0
2025,Laois,229.0,48,0
2025,Leitrim,99.0,11,0
2025,Limerick,1543.0,197,0
2025,Longford,147.0,18,0
2025,Louth,511.0,54,0
2025,Mayo,383.0,45,0
2025,Meath,1252.0,189,0
2025,Monaghan,449.0,46,0
2025,Offaly,358.0,40,0
2025,Roscommon,188.0,28,0
2025,Sligo,218.0,52,0
2025,Tipperary,650.0,66,0
2025,Waterford,695.0,67,0
2025,Westmeath,457.0,68,0
2025,Wexford,762.0,55,0
2025,Wicklow,390.0,49,0
2025,Others,,1,0
