Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2009,Jan,Agriculture & Fisheries,18.0,10.0,1.0,
2009,Jan,Catering,91.0,44.0,2.0,
2009,Jan,Domestic,10.0,2.0,1.0,
2009,Jan,Education,15.0,5.0,0.0,
2009,Jan,Entertainment,7.0,1.0,0.0,
2009,Jan,Industry,60.0,24.0,1.0,
2009,Jan,Medical & Nursing,268.0,39.0,6.0,
2009,Jan,Service Industry,256.0,73.0,7.0,
2009,Jan,Sport,5.0,1.0,0.0,
2009,Feb,Agriculture & Fisheries,17.0,12.0,0.0,
2009,Feb,Catering,134.0,29.0,10.0,
2009,Feb,Domestic,9.0,1.0,1.0,
2009,Feb,Education,15.0,6.0,1.0,
2009,Feb,Entertainment,1.0,1.0,0.0,
2009,Feb,Industry,78.0,24.0,2.0,
2009,Feb,Medical & Nursing,201.0,33.0,3.0,
2009,Feb,Service Industry,275.0,62.0,4.0,
2009,Feb,Sport,7.0,1.0,0.0,
2009,Mar,Agriculture & Fisheries,16.0,8.0,4.0,
2009,Mar,Catering,86.0,35.0,1.0,
2009,Mar,Domestic,6.0,3.0,0.0,
2009,Mar,Education,15.0,3.0,0.0,
2009,Mar,Entertainment,9.0,10.0,0.0,
2009,Mar,Industry,66.0,11.0,1.0,
2009,Mar,Medical & Nursing,174.0,41.0,1.0,
2009,Mar,Service Industry,248.0,63.0,2.0,
2009,Mar,Sport,5.0,1.0,0.0,
2009,Apr,Agriculture & Fisheries,30.0,10.0,1.0,
2009,Apr,Catering,74.0,41.0,1.0,
2009,Apr,Domestic,14.0,2.0,0.0,
2009,Apr,Education,7.0,4.0,0.0,
2009,Apr,Entertainment,2.0,1.0,0.0,
2009,Apr,Industry,49.0,9.0,1.0,
2009,Apr,Medical & Nursing,111.0,30.0,3.0,
2009,Apr,Service Industry,193.0,47.0,6.0,
2009,Apr,Sport,4.0,1.0,0.0,
2009,May,Agriculture & Fisheries,21.0,6.0,0.0,
2009,May,Catering,110.0,43.0,2.0,
2009,May,Domestic,26.0,4.0,0.0,
2009,May,Education,8.0,0.0,0.0,
2009,May,Entertainment,1.0,0.0,0.0,
2009,May,Exchange Agreements,0.0,1.0,0.0,
2009,May,Industry,98.0,14.0,1.0,
2009,May,Medical & Nursing,116.0,23.0,5.0,
2009,May,Service Industry,250.0,35.0,2.0,
2009,May,Sport,7.0,1.0,0.0,
2009,Jun,Agriculture & Fisheries,29.0,1.0,3.0,
2009,Jun,Catering,84.0,18.0,4.0,
2009,Jun,Domestic,11.0,8.0,0.0,
2009,Jun,Education,15.0,0.0,0.0,
2009,Jun,Entertainment,4.0,1.0,0.0,
2009,Jun,Exchange Agreements,3.0,0.0,0.0,
2009,Jun,Industry,59.0,10.0,2.0,
2009,Jun,Medical & Nursing,139.0,20.0,4.0,
2009,Jun,Service Industry,180.0,33.0,7.0,
2009,Jun,Sport,2.0,1.0,0.0,
2009,Jul,Agriculture & Fisheries,27.0,3.0,1.0,
2009,Jul,Catering,90.0,51.0,5.0,
2009,Jul,Domestic,6.0,1.0,1.0,
2009,Jul,Education,14.0,5.0,0.0,
2009,Jul,Entertainment,2.0,2.0,0.0,
2009,Jul,Industry,39.0,11.0,0.0,
2009,Jul,Medical & Nursing,222.0,14.0,4.0,
2009,Jul,Service Industry,212.0,29.0,15.0,
2009,Jul,Sport,7.0,2.0,0.0,
2009,Aug,Agriculture & Fisheries,36.0,9.0,0.0,
2009,Aug,Catering,147.0,20.0,6.0,
2009,Aug,Domestic,23.0,2.0,0.0,
2009,Aug,Education,21.0,2.0,0.0,
2009,Aug,Entertainment,7.0,0.0,0.0,
2009,Aug,Industry,71.0,4.0,3.0,
2009,Aug,Medical & Nursing,215.0,15.0,4.0,
2009,Aug,Service Industry,261.0,28.0,4.0,
2009,Aug,Sport,7.0,2.0,0.0,
2009,Sep,Agriculture & Fisheries,25.0,36.0,2.0,
2009,Sep,Catering,129.0,111.0,15.0,
2009,Sep,Domestic,18.0,11.0,0.0,
2009,Sep,Education,18.0,7.0,1.0,
2009,Sep,Entertainment,1.0,0.0,0.0,
2009,Sep,Exchange Agreements,1.0,0.0,0.0,
2009,Sep,Industry,68.0,24.0,3.0,
2009,Sep,Medical & Nursing,167.0,43.0,9.0,
2009,Sep,Service Industry,237.0,152.0,11.0,
2009,Sep,Sport,11.0,1.0,2.0,
2009,Oct,Agriculture & Fisheries,37.0,52.0,6.0,
2009,Oct,Catering,119.0,139.0,20.0,
2009,Oct,Domestic,7.0,7.0,2.0,
2009,Oct,Education,25.0,7.0,0.0,
2009,Oct,Entertainment,1.0,1.0,0.0,
2009,Oct,Industry,51.0,24.0,4.0,
2009,Oct,Medical & Nursing,193.0,41.0,9.0,
2009,Oct,Service Industry,261.0,154.0,22.0,
2009,Oct,Sport,10.0,0.0,1.0,
2009,Nov,Agriculture & Fisheries,38.0,34.0,3.0,
2009,Nov,Catering,115.0,92.0,26.0,
2009,Nov,Domestic,15.0,6.0,2.0,
2009,Nov,Education,9.0,3.0,1.0,
2009,Nov,Entertainment,0.0,1.0,0.0,
2009,Nov,Industry,76.0,27.0,3.0,
2009,Nov,Medical & Nursing,167.0,33.0,4.0,
2009,Nov,Service Industry,286.0,81.0,140.0,
2009,Nov,Sport,5.0,4.0,0.0,
2009,Dec,Agriculture & Fisheries,20.0,5.0,2.0,
2009,Dec,Catering,115.0,33.0,7.0,
2009,Dec,Domestic,14.0,0.0,1.0,
2009,Dec,Education,12.0,3.0,2.0,
2009,Dec,Entertainment,4.0,0.0,0.0,
2009,Dec,Industry,47.0,13.0,1.0,
2009,Dec,Medical & Nursing,171.0,6.0,3.0,
2009,Dec,Service Industry,214.0,41.0,8.0,
2009,Dec,Sport,7.0,0.0,0.0,
2010,Jan,Agriculture & Fisheries,37.0,10.0,2.0,
2010,Jan,Catering,121.0,41.0,9.0,
2010,Jan,Domestic,11.0,3.0,0.0,
2010,Jan,Education,14.0,2.0,0.0,
2010,Jan,Entertainment,10.0,0.0,0.0,
2010,Jan,Industry,60.0,9.0,2.0,
2010,Jan,Medical & Nursing,224.0,17.0,3.0,
2010,Jan,Service Industry,269.0,34.0,4.0,
2010,Jan,Sport,7.0,3.0,0.0,
2010,Feb,Agriculture & Fisheries,33.0,18.0,3.0,
2010,Feb,Catering,122.0,23.0,1.0,
2010,Feb,Domestic,10.0,1.0,0.0,
2010,Feb,Education,15.0,2.0,0.0,
2010,Feb,Entertainment,1.0,1.0,0.0,
2010,Feb,Industry,69.0,9.0,1.0,
2010,Feb,Medical & Nursing,165.0,15.0,1.0,
2010,Feb,Service Industry,272.0,32.0,4.0,
2010,Feb,Sport,6.0,2.0,1.0,
2010,Mar,Agriculture & Fisheries,30.0,14.0,0.0,
2010,Mar,Catering,107.0,56.0,9.0,
2010,Mar,Domestic,9.0,2.0,0.0,
2010,Mar,Education,12.0,3.0,1.0,
2010,Mar,Entertainment,3.0,0.0,0.0,
2010,Mar,Industry,75.0,12.0,2.0,
2010,Mar,Medical & Nursing,169.0,21.0,1.0,
2010,Mar,Service Industry,246.0,56.0,12.0,
2010,Mar,Sport,9.0,3.0,0.0,
2010,Apr,Agriculture & Fisheries,36.0,4.0,0.0,
2010,Apr,Catering,86.0,18.0,4.0,
2010,Apr,Domestic,5.0,1.0,0.0,
2010,Apr,Education,13.0,0.0,0.0,
2010,Apr,Entertainment,8.0,0.0,0.0,
2010,Apr,Industry,47.0,9.0,2.0,
