Year,County,Issued,Refused,Withdrawn
2009,Carlow,66.0,11.0,2.0
2009,Cavan,67.0,59.0,6.0
2009,Clare,125.0,42.0,5.0
2009,Cork,551.0,145.0,17.0
2009,Donegal,109.0,34.0,6.0
2009,Dublin,4001.0,754.0,260.0
2009,Galway,336.0,93.0,14.0
2009,Kerry,92.0,44.0,5.0
2009,Kildare,971.0,151.0,28.0
2009,Kilkenny,71.0,27.0,7.0
2009,Laois,36.0,16.0,0.0
2009,Leitrim,14.0,11.0,1.0
2009,Limerick,189.0,60.0,16.0
2009,Longford,37.0,13.0,2.0
2009,Louth,80.0,41.0,8.0
2009,Mayo,88.0,34.0,4.0
2009,Meath,241.0,66.0,15.0
2009,Monaghan,41.0,29.0,6.0
2009,Offaly,32.0,14.0,3.0
2009,Roscommon,24.0,13.0,1.0
2009,Sligo,36.0,13.0,2.0
2009,Tipperary,204.0,90.0,10.0
2009,Waterford,74.0,36.0,3.0
2009,Westmeath,179.0,35.0,4.0
2009,Wexford,71.0,31.0,5.0
2009,Wicklow,225.0,38.0,12.0
2009,Others,2.0,1.0,0.0
2010,Carlow,79.0,5.0,0.0
2010,Cavan,100.0,10.0,3.0
2010,Clare,134.0,18.0,4.0
2010,Cork,584.0,79.0,21.0
2010,Donegal,87.0,22.0,2.0
2010,Dublin,3776.0,451.0,101.0
2010,Galway,277.0,50.0,3.0
2010,Kerry,88.0,6.0,6.0
2010,Kildare,702.0,85.0,11.0
2010,Kilkenny,92.0,10.0,2.0
2010,Laois,50.0,7.0,1.0
2010,Leitrim,23.0,6.0,1.0
2010,Limerick,197.0,26.0,2.0
2010,Longford,30.0,13.0,0.0
2010,Louth,105.0,14.0,5.0
2010,Mayo,80.0,16.0,1.0
2010,Meath,222.0,21.0,9.0
2010,Monaghan,41.0,2.0,0.0
2010,Offaly,51.0,3.0,0.0
2010,Roscommon,31.0,8.0,1.0
2010,Sligo,45.0,6.0,3.0
2010,Tipperary,231.0,29.0,6.0
2010,Waterford,97.0,26.0,3.0
2010,Westmeath,104.0,16.0,2.0
2010,Wexford,96.0,13.0,5.0
2010,Wicklow,217.0,29.0,11.0
2010,Others,175.0,2.0,10.0
2011,Carlow,31.0,7.0,1.0
2011,Cavan,44.0,6.0,0.0
2011,Clare,81.0,20.0,4.0
2011,Cork,417.0,64.0,12.0
2011,Donegal,65.0,12.0,6.0
2011,Dublin,2717.0,534.0,108.0
2011,Galway,206.0,36.0,4.0
2011,Kerry,89.0,20.0,2.0
2011,Kildare,324.0,51.0,20.0
2011,Kilkenny,53.0,15.0,2.0
2011,Laois,31.0,2.0,0.0
2011,Leitrim,3.0,4.0,0.0
2011,Limerick,151.0,17.0,6.0
2011,Longford,24.0,5.0,1.0
2011,Louth,73.0,15.0,2.0
2011,Mayo,42.0,10.0,5.0
2011,Meath,98.0,25.0,2.0
2011,Monaghan,31.0,12.0,1.0
2011,Offaly,14.0,10.0,2.0
2011,Roscommon,33.0,2.0,0.0
2011,Sligo,32.0,7.0,1.0
2011,Tipperary,128.0,38.0,4.0
2011,Waterford,73.0,16.0,5.0
2011,Westmeath,257.0,26.0,2.0
2011,Wexford,47.0,19.0,2.0
2011,Wicklow,105.0,26.0,5.0
2011,Others,31.0,8.0,4.0
2012,Carlow,16.0,5.0,7.0
2012,Cavan,34.0,14.0,0.0
2012,Clare,48.0,15.0,1.0
2012,Cork,358.0,58.0,10.0
2012,Donegal,38.0,9.0,0.0
2012,Dublin,2293.0,420.0,149.0
2012,Galway,213.0,27.0,4.0
2012,Kerry,45.0,11.0,4.0
2012,Kildare,205.0,31.0,15.0
2012,Kilkenny,27.0,8.0,3.0
2012,Laois,23.0,7.0,0.0
2012,Leitrim,5.0,2.0,0.0
2012,Limerick,94.0,13.0,1.0
2012,Longford,18.0,5.0,1.0
2012,Louth,43.0,16.0,2.0
2012,Mayo,33.0,11.0,1.0
